1|"1"|"j48"|45.7673
2|"1 2"|"j48"|46.5369
3|"1 2 3"|"j48"|50.2943
4|"1 2 3 4"|"j48"|53.7347
5|"1 2 3 4 5"|"j48"|53.4178
7|"1 2 3 4 5 6 7"|"j48"|55.7266
1|"1"|"boosted j48"|45.7673
6|"1 2 3 4 5 6"|"j48"|55.0928
10|"1 2 3 4 5 6 7 8 9 10"|"j48"|60.9778
2|"1 2"|"boosted j48"|46.5369
9|"1 2 3 4 5 6 7 8 9"|"j48"|59.5292
8|"1 2 3 4 5 6 7 8"|"j48"|57.3563
11|"1 2 3 4 5 6 7 8 9 10 11"|"j48"|59.9819
3|"1 2 3"|"boosted j48"|50.2943
4|"1 2 3 4"|"boosted j48"|55.636
5|"1 2 3 4 5"|"boosted j48"|57.4468
6|"1 2 3 4 5 6"|"boosted j48"|60.6609
7|"1 2 3 4 5 6 7"|"boosted j48"|62.2001
2|"1 2"|"1nn"|45.3599
8|"1 2 3 4 5 6 7 8"|"boosted j48"|62.6075
9|"1 2 3 4 5 6 7 8 9"|"boosted j48"|64.1919
10|"1 2 3 4 5 6 7 8 9 10"|"boosted j48"|63.2866
11|"1 2 3 4 5 6 7 8 9 10 11"|"boosted j48"|64.2825
3|"1 2 3"|"1nn"|48.4835
1|"1"|"1nn"|45.7673
4|"1 2 3 4"|"1nn"|57.0847
5|"1 2 3 4 5"|"1nn"|59.1218
2|"1 2"|"3nn"|45.541
7|"1 2 3 4 5 6 7"|"1nn"|60.9325
6|"1 2 3 4 5 6"|"1nn"|59.0312
3|"1 2 3"|"3nn"|49.4794
8|"1 2 3 4 5 6 7 8"|"1nn"|61.9737
9|"1 2 3 4 5 6 7 8 9"|"1nn"|62.8791
10|"1 2 3 4 5 6 7 8 9 10"|"1nn"|63.9203
11|"1 2 3 4 5 6 7 8 9 10 11"|"1nn"|64.4636
4|"1 2 3 4"|"3nn"|57.7184
2|"1 2"|"5nn"|45.4052
5|"1 2 3 4 5"|"3nn"|59.2576
1|"1"|"3nn"|45.7673
3|"1 2 3"|"5nn"|49.9774
7|"1 2 3 4 5 6 7"|"3nn"|62.0643
6|"1 2 3 4 5 6"|"3nn"|60.344
2|"1 2"|"10nn"|45.4504
9|"1 2 3 4 5 6 7 8 9"|"3nn"|62.7886
8|"1 2 3 4 5 6 7 8"|"3nn"|62.517
4|"1 2 3 4"|"5nn"|59.2123
10|"1 2 3 4 5 6 7 8 9 10"|"3nn"|64.4183
3|"1 2 3"|"10nn"|50.3395
5|"1 2 3 4 5"|"5nn"|61.1589
